,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","{{Q://Q7/ChoiceTextEntryValue}}.1","{{Q://Q7/ChoiceTextEntryValue}}.2","{{Q://Q7/ChoiceTextEntryValue}}.3","{{Q://Q7/ChoiceTextEntryValue}}.4","{{Q://Q7/ChoiceTextEntryValue}}.5","{{Q://Q7/ChoiceTextEntryValue}}.6","{{Q://Q7/ChoiceTextEntryValue}}.7","{{Q://Q8/ChoiceTextEntryValue}}","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
,,,,,,,,,,,,,"Question Text","ברגע זה אני מרגיש חסר מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות","מאז הסקר האחרון, הרגשתי מודאג או מפוחד","ברגע זה, אני מרגיש פחד או לחץ","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאבא מבקש ממני להפסיק להיות מול המסך)","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","תן דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)","ברגע זה, אני מרגיש מרוגז או כועס","מאז הסקר האחרון, הרגשתי מתוסכל","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","ברגע זה אני מרגיש טוב","מאז הסקר האחרון, הרגשתי עצוב או מדוכא","מאז הסקר האחרון, אבא שלי איים להעניש אותי אבל לא עשה זאת","מאז הסקר האחרון, אבא שלי העביר עליי ביקורת","מאז הסקר האחרון, עצבנתי את אבא שלי","מאז הסקר האחרון, שיתפתי את אבא שלי ברגשות/תחושות שלי (שאני שמח / עצוב / כועס / עצבני / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אבא שלי הסכים לכל מה שרציתי","מאז הסקר האחרון, אבא שלי היה סבלני כלפיי","היום אני ואבא שלי בילינו זמן כיף ביחד","היום אבא שלי דיבר איתי על החברים שלי או על היום שלי","היום אבא שלי עזר לי במשהו (כמו הקפצה לחוג/תנועת נוער, עזרה בשיעורי בית וכו')","מאז הסקר האחרון, אבא שלי התעצבן או צעק עליי","מאז הסקר האחרון, אבא שלי החמיא לי כשעשיתי משהו בצורה טובה","! מזכירים לשחק גם במשחק"
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Scale","Scale","Scale","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Text","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Instruction"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]",,"[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",
"04/01/2025 05:08PM","04/01/2025 05:09PM","04/01/2025 05:00PM - 04/01/2025 11:00PM",89.091,"2","1","Finished","66e03ee644f1da2a6001020f",,,"no","-","10.24.27.204","Participant 2","7","5","3","3","3","3","No","No","Yes","No","No","Yes","","https://expimetrics.s3.amazonaws.com/Responses/Audio/1743516577215.m4a?AWSAccessKeyId=AKIAUNQ3YECAOFY6LAPM&Expires=1751552602&Signature=oC23pKPBmFHXh8FoSD4ezi2dOm0%3D","2","5","2","5","6","5","6","5","3","6","3","2","5","5","4","5",
"04/02/2025 05:00PM","04/02/2025 05:01PM","04/02/2025 05:00PM - 04/02/2025 11:00PM",53.871,"3","1","Finished","66e03ee644f1da2a6001020f",,,"no","-","10.100.102.5","Participant 2","5","2","3","5","5","3","No","No","No","No","Yes","No","","צגלגללרר","2","3","3","3","5","3","3","5","6","3","2","5","3","3","5","5",
"01/27/2025 08:26PM","01/27/2025 08:29PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",229.416,"2","1","Finished","679671cafd75d39f735af122","0.0","0.0","no","-","192.168.68.136","Participant 4","2","5","2","1","2","2","No","No","No","No","No","Yes","","הייתי באופרה הישראלית והייתי צריך לחכות שעה בלי לעשות משהו עד שקראו לנו.","1","2","2","6","1","1","2","1","5","3","6","3","5","6","2","5",
"01/28/2025 09:25PM","01/28/2025 09:28PM","01/28/2025 05:00PM - 01/28/2025 11:00PM",177.645,"3","1","Finished","679671cafd75d39f735af122","0.0","0.0","no","-","192.168.68.136","Participant 4","5","2","1","1","5","5","No","No","No","No","No","Yes","","אין","1","2","1","6","1","1","1","4","4","2","5","2","2","5","1","4",
"01/29/2025 09:22PM","01/29/2025 09:25PM","01/29/2025 05:00PM - 01/29/2025 11:00PM",169.064,"4","1","Finished","679671cafd75d39f735af122","0.0","0.0","no","-","192.168.68.136","Participant 4","4","2","1","1","3","2","No","No","No","No","No","Yes","","אין","1","2","2","5","2","5","1","3","4","4","5","5","6","6","2","5",
"01/30/2025 09:04PM","01/30/2025 09:06PM","01/30/2025 05:00PM - 01/30/2025 11:00PM",120.337,"5","1","Finished","679671cafd75d39f735af122","0.0","0.0","no","-","192.168.68.154","Participant 4","1","4","1","1","5","3","No","No","No","No","No","Yes","","אין","1","2","1","6","1","6","1","2","5","5","5","6","6","7","1","7",
"01/31/2025 06:23PM","01/31/2025 06:26PM","01/31/2025 05:00PM - 01/31/2025 11:00PM",180.747,"6","1","Finished","679671cafd75d39f735af122","0.0","0.0","no","-","192.168.68.154","Participant 4","1","1","1","1","5","5","No","No","No","No","No","Yes","","אין","1","1","2","5","1","1","2","1","5","6","5","4","5","3","1","6",
