,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","{{Q://Q7/ChoiceTextEntryValue}}.1","{{Q://Q7/ChoiceTextEntryValue}}.2","{{Q://Q7/ChoiceTextEntryValue}}.3","{{Q://Q7/ChoiceTextEntryValue}}.4","{{Q://Q7/ChoiceTextEntryValue}}.5","{{Q://Q7/ChoiceTextEntryValue}}.6","{{Q://Q7/ChoiceTextEntryValue}}.7","{{Q://Q8/ChoiceTextEntryValue}}","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
,,,,,,,,,,,,,"Question Text","ברגע זה אני מרגיש חסר מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות","מאז הסקר האחרון, הרגשתי מודאג או מפוחד","ברגע זה, אני מרגיש פחד או לחץ","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאבא מבקש ממני להפסיק להיות מול המסך)","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","תן דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)","ברגע זה, אני מרגיש מרוגז או כועס","מאז הסקר האחרון, הרגשתי מתוסכל","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","ברגע זה אני מרגיש טוב","מאז הסקר האחרון, הרגשתי עצוב או מדוכא","מאז הסקר האחרון, אבא שלי איים להעניש אותי אבל לא עשה זאת","מאז הסקר האחרון, אבא שלי העביר עליי ביקורת","מאז הסקר האחרון, עצבנתי את אבא שלי","מאז הסקר האחרון, שיתפתי את אבא שלי ברגשות/תחושות שלי (שאני שמח / עצוב / כועס / עצבני / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אבא שלי הסכים לכל מה שרציתי","מאז הסקר האחרון, אבא שלי היה סבלני כלפיי","היום אני ואבא שלי בילינו זמן כיף ביחד","היום אבא שלי דיבר איתי על החברים שלי או על היום שלי","היום אבא שלי עזר לי במשהו (כמו הקפצה לחוג/תנועת נוער, עזרה בשיעורי בית וכו')","מאז הסקר האחרון, אבא שלי התעצבן או צעק עליי","מאז הסקר האחרון, אבא שלי החמיא לי כשעשיתי משהו בצורה טובה","! מזכירים לשחק גם במשחק"
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Scale","Scale","Scale","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Text","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Instruction"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]",,"[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",
"12/03/2024 07:20PM","12/03/2024 07:22PM","12/03/2024 05:00PM - 12/03/2024 11:00PM",131.081,"2","1","Finished","674dc384cc103e20a9a5f3d9",,,"no","-","192.168.1.46","Participant 1","1","7","1","1","1","2","No","No","No","No","No","Yes","","הפרעה","1","6","1","7","5","1","1","1","2","1","5","2","3","1","1","6",
"12/17/2024 07:00PM","12/17/2024 07:03PM","12/17/2024 05:00PM - 12/17/2024 11:00PM",180.435,"3","1","Finished","675f118a33abebd908b4742d","0.0","0.0","no","-","192.168.1.193","Participant 2","2","2","3","3","2","2","No","No","No","No","No","Yes","","לא הצלחתי בבחינה","1","1","1","4","1","1","2","1","3","5","4","2","1","5","1","6",
"12/18/2024 05:13PM","12/18/2024 05:15PM","12/18/2024 05:00PM - 12/18/2024 11:00PM",92.183,"4","1","Finished","675f118a33abebd908b4742d","0.0","0.0","no","-","192.168.1.193","Participant 2","2","2","3","4","3","3","No","No","No","No","No","Yes","","לא הצלחתי בבחינה","3","3","5","2","2","2","2","3","2","5","2","3","3","3","3","2",
"12/19/2024 05:00PM","12/19/2024 05:01PM","12/19/2024 05:00PM - 12/19/2024 11:00PM",44.948,"5","1","Finished","675f118a33abebd908b4742d","0.0","0.0","no","-","192.168.1.193","Participant 2","3","2","5","2","3","3","No","No","No","No","No","Yes","","הרגשתי לא טוב בצאמה","2","2","3","2","3","2","2","2","4","2","3","3","2","2","5","3",
"12/22/2024 05:00PM","12/22/2024 05:01PM","12/22/2024 05:00PM - 12/22/2024 11:00PM",41.912,"8","1","Finished","675f118a33abebd908b4742d","0.0","0.0","no","-","100.90.16.222","Participant 2","2","2","2","2","3","2","No","No","No","No","Yes","No","","כלום","3","2","3","3","3","3","2","4","5","2","2","2","2","2","2","3",
"12/23/2024 05:24PM","12/23/2024 05:25PM","12/23/2024 05:00PM - 12/23/2024 11:00PM",75.079,"9","1","Finished","675f118a33abebd908b4742d","0.0","0.0","no","-","192.168.1.193","Participant 2","5","2","5","2","3","5","No","No","No","No","No","Yes","","איחרתי לשיבה","3","2","3","7","2","3","3","3","4","2","2","2","2","2","2","5",
"12/24/2024 05:10PM","12/24/2024 05:10PM","12/24/2024 05:00PM - 12/24/2024 11:00PM",43.576,"10","1","Finished","675f118a33abebd908b4742d","0.0","0.0","no","-","192.168.1.193","Participant 2","6","2","2","2","3","2","No","No","No","No","Yes","No","","כלום","3","2","2","6","3","2","2","5","2","2","2","2","2","5","2","2",
