,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21"
,,,,,,,,,,,,,"Question Text","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","מאז הסקר האחרון, הרגשתי מתוסכל","ברגע זה, אני מרגיש מרוגז או כועס","  תן דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, עצבנתי את אמא שלי","מאז הסקר האחרון, אמא שלי התעצבנה או צעקה עליי","מאז הסקר האחרון, אמא שלי הסכימה לכל מה שרציתי","מאז הסקר האחרון, אמא שלי הייתה סבלנית כלפיי","מאז הסקר האחרון, אמא שלי העבירה עליי ביקורת","מאז הסקר האחרון, אמא שלי החמיאה לי כשעשיתי משהו בצורה טובה","מאז הסקר האחרון, שיתפתי את אמא שלי ברגשות/תחושות שלי (שאני שמח / עצוב / כועס / עצבני / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אמא שלי איימה להעניש אותי אבל לא עשתה זאת","ברגע זה, אני מרגיש חסר מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות","ברגע זה, אני מרגיש פחד או לחץ","מאז הסקר האחרון, הרגשתי מודאג או מפוחד","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאמא מבקשת ממני להפסיק להיות מול המסך)","מאז הסקר האחרון, הרגשתי עצוב או מדוכא","ברגע ,זה אני מרגיש טוב"
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Text","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",,"[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]"
"11/30/2024 08:17AM","11/30/2024 08:23AM","11/30/2024 07:00AM - 11/30/2024 11:00AM",400.932,"2","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","192.168.1.230","Participant 3","2","2","4","שחלמתי חלןם רע שמחבלים
","No","No","No","No","No","Yes","","1","2","4","3","1","6","7","2","4","7","1","4","4","4","4","4"
"12/01/2024 07:28AM","12/01/2024 07:33AM","12/01/2024 07:00AM - 12/01/2024 11:00AM",290.152,"3","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","192.168.1.230","Participant 3","3","2","3","שאמא לא נתנה לי 2 דקות לישון","No","No","No","No","No","Yes","","2","4","4","5","5","4","2","4","1","2","2","6","4","7","2","4"
"12/02/2024 08:38AM","12/02/2024 08:40AM","12/02/2024 07:00AM - 12/02/2024 11:00AM",95.301,"4","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","192.168.1.230","Participant 3","2","1","1","אין","No","No","No","No","No","Yes","","3","2","2","5","2","2","3","3","2","1","1","1","5","2","2","5"
"12/03/2024 07:49AM","12/03/2024 07:50AM","12/03/2024 07:00AM - 12/03/2024 11:00AM",75.079,"5","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","192.168.1.230","Participant 3","3","1","1","אבא","No","No","No","No","No","Yes","","4","4","2","4","4","4","2","4","1","1","1","1","3","5","1","4"
"12/04/2024 07:30AM","12/04/2024 07:33AM","12/04/2024 07:00AM - 12/04/2024 11:00AM",191.274,"6","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","10.0.0.12","Participant 3","5","1","2",,"Yes","No","No","No","No","No","","7","4","1","1","1","1","7","1","1","7","1","7","4","3","3","3"
"12/05/2024 07:21AM","12/05/2024 07:25AM","12/05/2024 07:00AM - 12/05/2024 11:00AM",191.634,"7","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","192.168.1.230","Participant 3","1","1","3","ש Show sakhoti, ronaldi.","Yes","No","No","No","No","No","הסגכ","1","7","1","1","7","1","6","1","4","5","2","2","4","4","1","6"
"12/06/2024 07:35AM","12/06/2024 07:37AM","12/06/2024 07:00AM - 12/06/2024 11:00AM",112.93,"8","1","Finished","67484f957c2f821e9bbc4ada",,,"no","-","192.168.1.230","Participant 3","1","5","1","אמא","No","No","No","No","No","No","עה","7","7","4","1","1","2","1","2","1","1","1","1","1","1","1","1"
