,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21"
,,,,,,,,,,,,,"Question Text","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","מאז הסקר האחרון, הרגשתי מתוסכל","ברגע זה, אני מרגיש מרוגז או כועס","  תן דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, עצבנתי את אמא שלי","מאז הסקר האחרון, אמא שלי התעצבנה או צעקה עליי","מאז הסקר האחרון, אמא שלי הסכימה לכל מה שרציתי","מאז הסקר האחרון, אמא שלי הייתה סבלנית כלפיי","מאז הסקר האחרון, אמא שלי העבירה עליי ביקורת","מאז הסקר האחרון, אמא שלי החמיאה לי כשעשיתי משהו בצורה טובה","מאז הסקר האחרון, שיתפתי את אמא שלי ברגשות/תחושות שלי (שאני שמח / עצוב / כועס / עצבני / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אמא שלי איימה להעניש אותי אבל לא עשתה זאת","ברגע זה, אני מרגיש חסר מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות","ברגע זה, אני מרגיש פחד או לחץ","מאז הסקר האחרון, הרגשתי מודאג או מפוחד","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאמא מבקשת ממני להפסיק להיות מול המסך)","מאז הסקר האחרון, הרגשתי עצוב או מדוכא","ברגע ,זה אני מרגיש טוב"
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Text","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",,"[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]"
"01/12/2025 09:10AM","01/12/2025 09:12AM","01/12/2025 07:00AM - 01/12/2025 11:00AM",109.287,"2","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","192.168.100.232","Participant 1","1","1","1","כלום","No","No","No","No","No","Yes","","2","1","4","7","1","7","4","1","1","1","1","1","2","3","1","7"
"01/13/2025 08:52AM","01/13/2025 08:53AM","01/13/2025 07:00AM - 01/13/2025 11:00AM",79.996,"3","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.222.24.145","Participant 1","1","1","1","לא היה","No","No","No","No","No","Yes","","1","1","5","6","1","6","6","1","1","1","1","1","1","1","1","7"
"01/14/2025 08:18AM","01/14/2025 08:19AM","01/14/2025 07:00AM - 01/14/2025 11:00AM",67.11,"4","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.222.215.184","Participant 1","1","1","1","לא היה","No","No","No","No","No","Yes","","1","1","7","7","1","7","6","1","1","1","1","1","1","1","1","7"
"01/15/2025 08:00AM","01/15/2025 08:02AM","01/15/2025 07:00AM - 01/15/2025 11:00AM",120.099,"5","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.222.215.184","Participant 1","1","1","1","אין","No","No","No","No","No","Yes","","1","1","6","7","1","7","6","1","1","1","1","1","1","1","1","7"
"01/16/2025 07:44AM","01/16/2025 07:45AM","01/16/2025 07:00AM - 01/16/2025 11:00AM",59.284,"6","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.222.215.184","Participant 1","1","1","1","לא היה","No","No","No","No","No","Yes","","1","1","6","7","1","6","6","1","1","1","1","1","1","1","1","7"
"01/19/2025 07:51AM","01/19/2025 07:53AM","01/19/2025 07:00AM - 01/19/2025 11:00AM",104.149,"9","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.222.215.184","Participant 1","1","1","1","היום לא היה ","No","No","No","No","No","Yes","","2","1","7","7","1","7","5","1","1","1","1","1","1","1","1","7"
"01/20/2025 08:16AM","01/20/2025 08:18AM","01/20/2025 07:00AM - 01/20/2025 11:00AM",94.843,"10","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.222.215.184","Participant 1","1","1","1","לא היה","No","No","No","No","No","Yes","","1","1","7","7","1","7","7","1","1","1","1","1","1","1","1","7"
