,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","{{Q://Q5/ChoiceTextEntryValue}}","Question 6","Question 7","{{Q://Q8/ChoiceTextEntryValue}}.1","{{Q://Q8/ChoiceTextEntryValue}}.2","{{Q://Q8/ChoiceTextEntryValue}}.3","{{Q://Q8/ChoiceTextEntryValue}}.4","{{Q://Q8/ChoiceTextEntryValue}}.5","{{Q://Q8/ChoiceTextEntryValue}}.6","{{Q://Q8/ChoiceTextEntryValue}}.7","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21"
,,,,,,,,,,,,,"Question Text","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאמא מבקש ממני להפסיק להיות מול המסך)","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב","ברגע זה, אני מרגישה חסר מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות","תני דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","מאז הסקר האחרון, הרגשתי מתוסכלת",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","ברגע זה, אני מרגישה מרוגזת או כועסת","מאז הסקר האחרון, הרגשתי מודאגת או מפוחדת","ברגע זה, אני מרגישה פחד או לחץ","מאז הסקר האחרון, אמא שלי התעצבנה או צעקה עליי","מאז הסקר האחרון, אמא שלי העביר עליי ביקורת","מאז הסקר האחרון, אמא שלי הסכימה לכל מה שרציתי","מאז הסקר האחרון, שיתפתי את אמא שלי ברגשות/תחושות שלי (שאני שמחה / עצובה / כועסת / עצבנית / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אמא שלי היה סבלנית כלפיי","מאז הסקר האחרון, אמא שלי איימה להעניש אותי אבל לא עשתה זאת","מאז הסקר האחרון, עצבנתי את אמא שלי","מאז הסקר האחרון, אמא שלי החמיאה לי כשעשיתי משהו בצורה טובה","מאז הסקר האחרון, הרגשתי עצובה או מדוכאת","ברגע זה, אני מרגישה טוב"
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Scale","Text","Scale","Scale","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",,"[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]"
"12/08/2024 07:11AM","12/08/2024 07:15AM","12/08/2024 07:00AM - 12/08/2024 11:00AM",228.634,"2","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.96.146.25","Participant 1","3","5","5","2","עיצבן אותי שאח שלי מתעכב ומעכב גם אותי","3","1","Yes","No","No","No","Yes","No","","1","1","1","7","6","1","3","4","6","5","7","1","7"
"12/09/2024 07:04AM","12/09/2024 07:06AM","12/09/2024 07:00AM - 12/09/2024 11:00AM",150.593,"3","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.105.156.91","Participant 1","7","1","1","5","חברה שלי שהתקשרה ושאלה למה אניי לא מדברת איתה למרות שהיא יודעת שמרכלת עליי","1","1","No","No","No","No","No","Yes","","1","1","1","1","1","1","6","6","1","1","7","1","7"
"12/10/2024 07:01AM","12/10/2024 07:03AM","12/10/2024 07:00AM - 12/10/2024 11:00AM",93.481,"4","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.104.189.115","Participant 1","3","1","1","6","כלום לא עיצבן אותי","1","1","No","No","No","No","No","Yes","","1","1","1","3","2","2","7","7","2","3","7","1","7"
"12/11/2024 07:08AM","12/11/2024 07:11AM","12/11/2024 07:00AM - 12/11/2024 11:00AM",160.192,"5","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.105.162.104","Participant 1","6","6","1","5","לא רציתי לקום מוקדם","3","1","Yes","No","No","No","No","No","","3","1","1","6","1","2","6","7","1","6","7","1","7"
"12/12/2024 07:21AM","12/12/2024 07:23AM","12/12/2024 07:00AM - 12/12/2024 11:00AM",161.432,"6","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.97.172.38","Participant 1","5","6","1","3","אמא שלי אתמול צעקה עליי בגלל שלא רציתי לבוא איתה","6","2","Yes","No","No","No","No","No","","1","1","1","6","1","3","5","6","2","7","6","1","7"
"12/15/2024 07:00AM","12/15/2024 07:02AM","12/15/2024 07:00AM - 12/15/2024 11:00AM",98.587,"9","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.96.223.240","Participant 1","6","3","1","3","ללא מצאתי את מחברת אנגלית","1","2","Yes","No","No","No","No","No","","1","1","1","5","1","5","7","7","3","1","7","1","7"
"12/16/2024 07:08AM","12/16/2024 07:11AM","12/16/2024 07:00AM - 12/16/2024 11:00AM",166.629,"10","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.104.85.180","Participant 1","2","6","1","1","אבא  שלי  לא  עזר  לי  בשיעורי  בית","6","1","Yes","No","No","No","No","No","","7","1","1","6","1","2","7","2","1","2","5","2","7"
"01/12/2025 07:00AM","01/12/2025 07:04AM","01/12/2025 07:00AM - 01/12/2025 11:00AM",218.438,"2","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1001","Participant 2","1","1","5","5","שלקח לי זמן למצוא בגדים","1","1","No","No","No","No","No","Yes","","3","2","2","1","2","3","5","6","1","2","6","2","6"
