,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","{{Q://Q12/ChoiceTextEntryValue}}","{{Q://Q13/ChoiceTextEntryValue}}.1","{{Q://Q13/ChoiceTextEntryValue}}.2","{{Q://Q13/ChoiceTextEntryValue}}.3","{{Q://Q13/ChoiceTextEntryValue}}.4","{{Q://Q13/ChoiceTextEntryValue}}.5","{{Q://Q13/ChoiceTextEntryValue}}.6","{{Q://Q13/ChoiceTextEntryValue}}.7","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
,,,,,,,,,,,,,"Question Text","היום אני ואמא שלי בילינו זמן כיף ביחד","מאז הסקר האחרון, אמא שלי החמיאה לי כשעשיתי משהו בצורה טובה","מאז הסקר האחרון, אמא שלי איימה להעניש אותי אבל לא עשתה זאת","מאז הסקר האחרון, עצבנתי את אמא שלי","מאז הסקר האחרון, אמא שלי העבירה עליי ביקורת","מאז הסקר האחרון, אמא שלי התעצבנה או צעקה עליי","מאז הסקר האחרון, שיתפתי את אמא שלי ברגשות/תחושות שלי (שאני שמחה / עצובה / כועסת / עצבנית / שקרה לי משהו מרגש היום)","מאז הסקר האחרון, אמא שלי הייתה סבלנית כלפיי","היום אמא שלי דיברה איתי על החברים שלי או על היום שלי","היום אמא שלי עזרה לי במשהו (כמו הקפצה לחוג/תנועת נוער, עזרה בשיעורי בית וכו')","מאז הסקר האחרון, אמא שלי הסכימה לכל מה שרציתי","תני דוגמה למשהו שעצבן אותך היום (אפשר גם להקליט תשובה)",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות",":מאז הסקר האחרון, התפרצתי בכעס באחת או יותר מהדרכים הבאות","ברגע זה, אני מרגישה מרוגזת או כועסת","מאז הסקר האחרון, כעסתי או התעצבנתי כשדברים קרו לא כמו שרציתי","מאז הסקר האחרון, הרגשתי מתוסכלת","מאז הסקר האחרון, הרגשתי עצובה או מדוכאת","ברגע זה, אני מרגישה טוב","ברגע זה, אני מרגישה פחד או לחץ","מאז הסקר האחרון, הרגשתי מודאגת או מפוחדת","ברגע זה, אני מרגישה חסרת מנוחה","מאז הסקר האחרון, דעתי הוסחה בקלות","מאז הסקר האחרון, יצא שאמרתי את הדבר הראשון שעלה לי לראש מבלי לעצור ולחשוב","מאז הסקר האחרון, היה לי קשה להפסיק לעשות משהו אחרי שביקשו ממני להפסיק (לדוגמה כשמורים מבקשים ממני להפסיק לדבר בכיתה או כשאמא מבקש ממני להפסיק להיות מול המסך)","! מזכירים לשחק גם במשחק "
,,,,,,,,,,,,,"Response Type","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Text","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Instruction"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",,"[ צעקתי ]","[ טרקתי דלת ]","[ זרקתי משהו ]","[ זרקתי משהו על מישהו ]","[ הרבצתי ]","[ לא התפרצתי בכעס ]","[ התפרצתי בכעס בצורה אחרת (בבקשה לפרט) ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",
"12/08/2024 07:12PM","12/08/2024 07:16PM","12/08/2024 05:00PM - 12/08/2024 11:00PM",227.843,"2","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.96.36.227","Participant 1","5","7","7","1","5","1","5","7","7","7","5","ילדה מבית הספר שלי אמרה לחברה השניה שלי משהו לא יפה עליי","Yes","No","No","No","Yes","No","","1","6","1","1","7","1","2","1","5","2","1",
"12/09/2024 06:03PM","12/09/2024 06:06PM","12/09/2024 05:00PM - 12/09/2024 11:00PM",172.326,"3","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.96.93.22","Participant 1","5","6","2","7","2","6","6","2","6","6","2","היום היתי תקועה מחוץ לבית כי הדלת לא נפתאך","Yes","No","No","No","No","No","","1","6","1","1","7","2","1","1","5","2","2",
"12/10/2024 08:27PM","12/10/2024 08:30PM","12/10/2024 05:00PM - 12/10/2024 11:00PM",172.597,"4","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.105.162.104","Participant 1","6","5","6","3","2","2","7","5","7","6","2","לא רציתתי לעלות באוטבוס ואמא שלי החריכה אותי","Yes","No","No","No","No","No","","2","3","1","1","7","1","1","2","2","2","5",
"12/11/2024 07:06PM","12/11/2024 07:08PM","12/11/2024 05:00PM - 12/11/2024 11:00PM",145.317,"5","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.97.97.240","Participant 1","7","5","3","6","2","5","6","6","7","7","3","אח שלי לא ויתר לי על משהו ואמא שלי אמרה לי לבתר לו","Yes","No","No","No","No","No","","1","2","1","1","7","1","1","1","3","6","2",
"12/12/2024 05:49PM","12/12/2024 05:51PM","12/12/2024 05:00PM - 12/12/2024 11:00PM",105.637,"6","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.105.19.23","Participant 1","7","6","5","5","6","2","7","5","7","6","5","חברה שלי ריכלה עליי","Yes","No","No","No","No","No","","1","5","1","1","7","1","1","1","6","5","5",
"12/15/2024 07:29PM","12/15/2024 07:31PM","12/15/2024 05:00PM - 12/15/2024 11:00PM",121.711,"9","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.104.85.180","Participant 1","7","6","1","1","5","1","6","4","6","6","5","שאבא שלי לא עזר לי בשיאורים
","Yes","No","No","No","No","No","","1","1","1","1","7","1","1","1","1","2","5",
"12/16/2024 06:42PM","12/16/2024 06:46PM","12/16/2024 05:00PM - 12/16/2024 11:00PM",265.408,"10","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.104.235.238","Participant 1","7","6","7","5","2","3","6","6","6","7","1","לא עצבן אותי כלום","No","No","No","No","No","Yes","","1","6","1","3","7","1","1","1","2","2","5",
"01/12/2025 05:00PM","01/12/2025 05:04PM","01/12/2025 05:00PM - 01/12/2025 11:00PM",227.354,"2","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","10.51.237.111","Participant 2","1","5","1","1","1","1","5","6","6","1","4","שאין לי זמן לנוח אחרי בית ספר ","No","No","No","No","No","Yes","","5","2","5","1","7","2","1","1","5","1","1",
