Participant ID,participant_code,Parent/Children,Day of experiment,text
67c98ba346dea88167053136,#7394,Children,1,סתם פשוט ישבתי ולא דיברתי או עשיתי כלום
6796623cfd75d39f735aa6a3,#7362,Children,6,כעס פנימי
67484f957c2f821e9bbc4ada,#7304,Children,4,שתקתי ואמתי לעצמי משהו
67484f957c2f821e9bbc4ada,#7304,Children,6,הסגכ
67484f957c2f821e9bbc4ada,#7304,Children,6,בכייתי
67484f957c2f821e9bbc4ada,#7304,Children,7,עה
67508f84dc3d69e45537faeb,#7310,Children,7,כעסתי מאוד
67682e319e4c11f7e1e4cd41,#7326,Children,1,לא התפרצתי בכעס
67682e319e4c11f7e1e4cd41,#7326,Children,2,‏דפקתי על השולחן
67682e319e4c11f7e1e4cd41,#7326,Children,3,דפקתי על השולחן
67682e319e4c11f7e1e4cd41,#7326,Children,5,דברתי בטון עצבני
67e598bb8cd70bc4d8406ea5,#7446,Children,2,הלכתי מאותו האזור
67e598bb8cd70bc4d8406ea5,#7446,Children,7,קיללתי
67ed349914f74b844501d3ad,#7456,Children,2,"לא עשיתי שום דבר פיזי, רק הייתי עצבני"
67ed349914f74b844501d3ad,#7456,Children,3,הייתי כועס אבל לא עשיתי שום דבר פיזי
67a8d7bf93e9af3878060a7e,#3780,Children,5,אמרתי לאמא שלי
678fd8aa37a19c21a4c260c2,#7356,Children,5,בעטתי מלאאאאאאאאאאאא🎗️
678fd8aa37a19c21a4c260c2,#7356,Children,6,פשוט יצאתי מהחדר
679372c5a921bfa59b1b8210,#7368,Children,1,ביקשתי מאמא לדבר ברוגע ובטון דיבור נעים
679372c5a921bfa59b1b8210,#7368,Children,2,פשוט כעסתי בלב
67eac94d14f74b8445db1c3e,#7448,Children,1,?
6787c23313aa347c7f08e3cc,#7344,Children,1,התוקחתי עם אבא שלי אתמול בארוחת ערב
6787c23313aa347c7f08e3cc,#7344,Children,2,איימתי על אחותי במכאות שרובנו ( לא קרה בסוף)
6787c23313aa347c7f08e3cc,#7344,Children,4,לא צעקתי אבל כן אמרתי לחברה שלי שהיא מתנהגת כמו סתומה והתווקחתי איתה קצת
67d2b7adc1ae9946c5720ac6,#7406,Children,4,התעצבנתי אבל לא השתוללתי יותר מדי פשוט בלב שלי הייתי קצת כועסת
67dc1d544a8aee02c00ea4ef,#7408,Children,1,בכיתי
67d1a78ec1ae9946c566737d,#7428,Children,1,עקצתי
67d1a78ec1ae9946c566737d,#7428,Children,2,צעקתי ודיברתי בציניות לא נעימה
67d1a78ec1ae9946c566737d,#7428,Children,3,עקצתי
